ANTdriftrate,Percdriftrate,LearningAcc,SymSpn
0.294615393,0.05055464,30,30
0.322548889,0.145643352,78.75,19
0.271604713,0.058832562,73.75,37
0.262949028,0.129799305,83.75,42
0.298380024,0.129850815,78.75,40
0.226865182,0.10208596,83.75,22
0.303606298,0.075440483,90,24
0.249471548,0.034638495,45,29
0.197064507,0.112717446,68.75,26
0.346107499,0.145428469,81.25,6
0.253801797,0.226980152,73.75,34
0.171099602,-0.016712259,13.75,23
0.324120522,0.081276709,70,29
0.316444346,0.134980254,85,29
0.259688884,0.054396638,73.75,17
0.342110765,0.09308429,87.5,29
0.170401318,0.026076426,35,13
0.299465457,0.115998868,85,32
0.269803973,0.122273899,71.25,20
0.25177211,0.105834934,83.75,30
0.336975452,0.120070567,76.25,20
0.28935455,0.120211075,67.5,21
0.30421508,0.061986552,77.5,22
0.274758926,0.150923094,76.25,15
0.31126499,0.099090033,78.75,40
0.279400095,0.116279901,78.75,36
0.22823974,0.130932977,68.75,38
0.265865951,0.055855549,66.25,24
0.365424426,0.097340838,68.75,34
0.342536214,0.090687946,71.25,40
0.291353088,0.056227261,63.75,10
0.372292397,0.133806079,81.25,27
0.268923347,0.121122079,55,22
0.134998305,0.024225926,80,26
0.260239447,0.123522251,73.75,19
0.212600569,0.121917093,78.75,18
0.337573333,0.115243014,58.75,22
0.336345343,0.183572887,50,39
0.406789912,0.181101961,56.25,25
0.291235963,0.039329153,52.5,23
0.213290701,0.120678532,41.25,15
0.305559241,0.101922474,81.25,15
0.274804837,0.111852485,60,27
0.307484923,0.047494581,51.25,31
0.254463305,0.079703018,72.5,31
0.29935529,0.102332005,35,23
0.06173297,0.082811629,62.5,24
0.303110164,0.095330887,67.5,17
0.216391871,0.118359744,63.75,14
0.27611564,0.068527078,72.5,24
0.159952025,0.033468537,65,28
0.319632083,0.159437172,75,34
0.391360827,0.130348686,71.25,21
0.1009176,0.076075397,43.75,21
0.288102817,0.16546908,52.5,16
0.259872645,0.161551309,80,37
0.292298756,0.111095429,68.75,30
0.29833522,0.084900323,72.5,35
0.360684458,0.104689562,68.75,39
0.426149858,0.131894006,67.5,34
0.390596677,0.158046121,80,15
0.26153404,0.165797483,68.75,19
0.365299165,0.145740704,85,17
0.28204785,0.113222676,41.25,14
0.214649066,-0.017357814,53.75,37
0.224893719,0.006660774,37.5,39
0.219237877,0.078175999,62.5,42
0.277326161,0.112665888,67.5,40
0.036217002,-0.013981555,33.75,27
0.230695807,0.092928331,88.75,19
0.190717931,0.107595554,67.5,21
0.260057323,0.067865311,57.5,25
0.319967799,0.071990935,66.25,30
0.255244857,0.050184964,72.5,21
0.334981901,0.143601245,60,30
0.255235266,0.037417514,67.5,27
0.320339858,0.066907674,16.25,32
0.275075302,0.104466952,78.75,26
0.265356679,0.130422148,45,29
0.282523067,0.101201246,70,38
0.311280527,0.177644412,68.75,20
0.361253048,0.120598112,18.75,15
0.290519073,0.172734705,73.75,19
0.32533741,0.076897426,50,30
0.298209547,0.102583218,78.75,35
0.172413769,0.010274705,60,30
0.251797133,0.174785252,77.5,20
0.324386859,0.132031981,70,42
0.269634384,0.02178223,65,21
0.274168242,0.096883002,53.75,27
0.32825657,0.116928144,75,25
0.231680028,0.077820754,75,31
0.273249673,0.105404387,78.75,42
0.24051268,0.109136066,87.5,31
0.297035582,0.148941289,93.75,25
0.2859562,0.157953378,78.75,28
0.327596078,0.083314491,66.25,20
0.333307656,0.102802108,47.5,23
0.269133969,0.034610316,21.25,23
0.400333174,0.089168652,90,35
0.243518633,0.093391991,36.25,19
0.363951834,0.190894798,60,27
0.324151137,0.132466605,82.5,21
0.0466538,0.053523865,73.75,14
0.28481421,0.087251791,43.75,20
0.243929197,0.076705526,71.25,34
0.382825431,0.153025183,81.25,26
0.25703324,0.109814352,72.5,32
0.379508641,0.137054461,82.5,17
0.353534623,0.110399037,71.25,35
0.329429927,0.139322149,82.5,28
0.395085221,0.061609664,81.25,26
0.349256659,0.116599078,73.75,23
0.335400581,0.11660171,78.75,34
0.332339035,0.093805609,73.75,35
0.182303999,0.013151673,42.5,24
0.304501574,0.142322146,86.25,23
